ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,enterprise_to_ebitda,gross_margin,operating_margin,profit_margin,roe,revenue_growth,earnings_growth,free_cash_flow,operating_cash_flow,total_cash,total_debt,debt_to_equity,dividend_yield,scheme,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,years,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,rank_score
MSFT,2016-07-18,2026-07-15,9.990417522245037,True,7.292812836456637,0.23582878103148341,0.27191392589140523,-0.3714848024021429,-0.2655273165512836,0.8434360870987774,1.153196957869196,WATCHLIST_1,2938911850496.0,22.935072,20.421362,7.093067,1.19,16.189,0.68309,0.46326,0.39341998,0.34013999,0.183,0.234,37011251200.0,170141007872.0,78227996672.0,125431996416.0,30.271,0.95,STOCK_C_25_35_45_60,5.0,0.2686810509473586,0.6,0.42207212870992245,0.8,-0.06451825008246419,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.6,0.09763956212230693,0.021876539680454044,31.929890924280162
MA,2016-07-18,2026-07-15,9.990417522245037,True,5.196965325603924,0.20031128657092645,0.2689204283858071,-0.4099720538066496,-0.10086625211687406,0.7407627717287572,0.9761742143528418,WATCHLIST_1,472902959104.0,31.153086,23.47986,70.64546,1.62,22.625,1.0,0.60836,0.45876,2.32076,0.158,0.212,16148124672.0,18267000832.0,8218999808.0,18959998976.0,282.059,0.65,STOCK_C_25_35_45_60,4.0,0.32902044431983557,1.0,0.5522102822897887,1.0,-0.0667214571034552,WATCH_SAMPLE_LOW,10.0,0.5,0.4,0.0443686506609588,-0.03139437178089409,31.771940887680216
RKLB,2020-11-24,2026-07-15,5.637234770704997,False,6.8201963821254585,0.44028889270283456,0.7896138673380757,-0.8296332003681772,-0.4927777466862181,0.8207572849405254,1.4229515844883076,ACTIVE_10,47611187200.0,,2540.0,19.374521,,-260.001,0.36556,-0.22356,-0.26872,-0.13549,0.635,,-214999376.0,-161628000.0,1383351040.0,138670000.0,6.124,,STOCK_B_20_30_40_55,22.0,0.6609314478531252,0.4090909090909091,0.8281197166716713,0.2727272727272727,-0.289371582033221,WATCH,6.0,0.5,0.3333333333333333,0.7532297585940756,0.7156465740785495,31.00278738111585
AXP,2016-07-18,2026-07-15,9.990417522245037,True,5.4277264253502375,0.2047120229879562,0.31783925849574146,-0.49638490133874047,-0.06113850294215495,0.6818125829063754,0.9366321490567102,WATCHLIST_2,244573093888.0,22.166975,17.772102,7.190948,1.67,,0.62759,0.21245001,0.16305,0.34419,0.116,0.176,,17468000256.0,53866999808.0,60458999808.0,177.847,1.07,STOCK_C_25_35_45_60,7.0,0.19459174904438795,0.8571428571428571,0.47922445712972245,1.0,-0.13545429099286457,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.5,0.04869713615835882,-0.027065886283494066,30.278802091591754
QQQ,2016-07-18,2026-07-15,9.990417522245037,True,5.834628217185372,0.21213656603783404,0.22444936603167756,-0.35118736664376404,-0.0370312320228241,0.8830096420866479,1.1271711098138681,ACTIVE_10,,31.849918,,2.0061269,,,,,,,,,,,,,,0.41,ETF_B_15_25_35,10.0,0.23450405303198307,0.8,0.3425486421430497,0.9,-0.07066552958048286,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.4,0.07576299855102463,-2.389082826015354e-08,29.674530107147476
BAC,2016-07-18,2026-07-15,9.990417522245037,True,4.454333054881243,0.18507225680799722,0.3046542447975602,-0.48946808976744793,0.0,0.6454073843666889,0.8919900440036371,WATCHLIST_2,437079015424.0,13.997727,11.736861,1.5929546,1.06,,0.0,0.38305,0.29524,0.111990005,0.214,0.36,,,1055455969280.0,774637027328.0,,1.85,STOCK_C_25_35_45_60,13.0,0.18134877291163218,0.7692307692307693,0.3487311605829187,0.6153846153846154,-0.185750096856523,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.6,0.0036480649141816036,-0.07211495752767129,28.32672692775036
V,2016-07-18,2026-07-15,9.990417522245037,True,3.866099377375611,0.17161253501418106,0.24428854011343962,-0.36364924155103184,-0.04115827985666021,0.6903160136770958,0.9090778149051338,WATCHLIST_1,675385311232.0,31.043709,23.89049,19.050531,1.53,22.554,0.97778,0.67346,0.51679003,0.60349,0.171,0.355,20839749632.0,22755999744.0,13912999936.0,23975999488.0,67.233,0.75,STOCK_C_25_35_45_60,3.0,0.2685262936343616,0.6666666666666666,0.3640236459027873,1.0,-0.06302092164507211,WATCH_SAMPLE_LOW,10.0,0.5,0.4,0.025158830638717867,-0.050604191803135024,27.731791383412947
NOW,2016-07-18,2026-07-15,9.990417522245037,True,6.498926416437888,0.22344326979563567,0.4095869081903393,-0.6454173439572124,-0.5525850270160052,0.6497359136983476,0.9029014808937417,WATCHLIST_1,108008890368.0,62.33929,20.852665,9.209462,1.05,36.447,0.76562,0.13342,0.12586,0.1607,0.221,0.023,5108125184.0,5437000192.0,5182000128.0,2431000064.0,20.728,,STOCK_B_20_30_40_55,20.0,0.31065507653702173,0.7,0.45252779958206346,0.7,-0.1632065805317614,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.6,0.158547673398112,0.08278465095625911,27.448100431544386
WDC,2016-07-18,2026-07-15,9.990417522245037,True,13.855485547451888,0.3100898701887451,0.4945592003599674,-0.7049293695592058,-0.311418677479701,0.7558626969182167,1.0519594834825348,WATCHLIST_2,177111482368.0,33.672348,27.704634,24.568014,0.52,44.704,0.45428002,0.37008998,0.55286,0.85920995,0.455,4.829,2075000064.0,3286000128.0,3236999936.0,1724000000.0,17.81,0.11,STOCK_C_25_35_45_60,26.0,0.25795450284488536,0.5,1.0065570255269731,0.6923076923076923,-0.25594758723284267,WATCH,10.0,0.4,0.4,0.4050182020798706,0.32925517963801776,26.65854245589127
AMZN,2016-07-18,2026-07-15,9.990417522245037,True,5.927601964257821,0.21377704154201926,0.32597875713949176,-0.5614526325328263,-0.07283895498682036,0.6974026242201943,0.9917772811701816,WATCHLIST_2,2742632841216.0,29.577728,25.763634,6.2044635,1.41,18.19,0.50604,0.1314,0.12224,0.24285,0.166,0.748,9806624768.0,148531003392.0,143088992256.0,235540004864.0,53.3,,STOCK_B_20_30_40_55,15.0,0.22456538441740898,0.6666666666666666,0.2850392620095651,0.8,-0.11855752532345441,STRONG_RESEARCH_CANDIDATE,10.0,0.5,0.5,0.12007141583862309,0.04430839339677019,23.779234398906084
KO,2016-07-18,2026-07-15,9.990417522245037,True,1.4689839613731417,0.09468577824664148,0.183030964599132,-0.36987511522760197,-0.021365021385849392,0.47829633320888404,0.6097075537291999,WATCHLIST_2,354739650560.0,26.09177,23.686674,10.548874,4.28,23.193,0.61744,0.35055,0.278,0.43372002,0.121,0.182,3124250112.0,14631000064.0,13820000256.0,44646998016.0,124.943,2.55,STOCK_C_25_35_45_60,2.0,0.284635529615212,1.0,0.3161198644427332,1.0,-0.060700397082105284,WATCH_SAMPLE_LOW,10.0,0.3,0.3,-0.05153958930824383,-0.12730261175009672,22.4494084544466
