ticker,engine,scheme,layer,threshold,date,close,reference_high,drawdown,ma25,ma25_slope_5d,vol5,vol60,volume_ok,shrink_ok,price_near_ma25,filter,filter_pass,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-07-18,3.8299999237060547,4.659999847412109,-17.81%,4.267600021362305,1.25%,95979060.0,26126618.333333332,True,False,False,D_MA25,True,9.92%,-31.07%,-37.60%,-53.00%,-53.26%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-07-18,3.8299999237060547,4.659999847412109,-17.81%,4.267600021362305,1.25%,95979060.0,26126618.333333332,True,False,False,D_VOLUME,True,9.92%,-31.07%,-37.60%,-53.00%,-53.26%
AMD,AI基礎建設,AI_A_15_25_35_50,D1,-15.00%,2014-07-18,3.8299999237060547,4.659999847412109,-17.81%,4.267600021362305,1.25%,95979060.0,26126618.333333332,True,False,False,D_2560,False,9.92%,-31.07%,-37.60%,-53.00%,-53.26%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-09-30,3.4100000858306885,4.659999847412109,-26.82%,3.928400001525879,-3.28%,25027040.0,30322216.666666668,False,False,False,D_ONLY,True,-18.77%,-22.87%,-21.11%,-49.56%,-52.49%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-09-30,3.4100000858306885,4.659999847412109,-26.82%,3.928400001525879,-3.28%,25027040.0,30322216.666666668,False,False,False,D_MA25,False,-18.77%,-22.87%,-21.11%,-49.56%,-52.49%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-09-30,3.4100000858306885,4.659999847412109,-26.82%,3.928400001525879,-3.28%,25027040.0,30322216.666666668,False,False,False,D_VOLUME,False,-18.77%,-22.87%,-21.11%,-49.56%,-52.49%
AMD,AI基礎建設,AI_A_15_25_35_50,D2,-25.00%,2014-09-30,3.4100000858306885,4.659999847412109,-26.82%,3.928400001525879,-3.28%,25027040.0,30322216.666666668,False,False,False,D_2560,False,-18.77%,-22.87%,-21.11%,-49.56%,-52.49%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2014-10-09,2.950000047683716,4.659999847412109,-36.70%,3.682400007247925,-4.70%,29982260.0,26966138.333333332,True,False,False,D_ONLY,True,-5.76%,-10.85%,-5.76%,-33.56%,-45.08%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2014-10-09,2.950000047683716,4.659999847412109,-36.70%,3.682400007247925,-4.70%,29982260.0,26966138.333333332,True,False,False,D_MA25,False,-5.76%,-10.85%,-5.76%,-33.56%,-45.08%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2014-10-09,2.950000047683716,4.659999847412109,-36.70%,3.682400007247925,-4.70%,29982260.0,26966138.333333332,True,False,False,D_VOLUME,True,-5.76%,-10.85%,-5.76%,-33.56%,-45.08%
AMD,AI基礎建設,AI_A_15_25_35_50,D3,-35.00%,2014-10-09,2.950000047683716,4.659999847412109,-36.70%,3.682400007247925,-4.70%,29982260.0,26966138.333333332,True,False,False,D_2560,False,-5.76%,-10.85%,-5.76%,-33.56%,-45.08%
