ticker,signal,date,close,drawdown_60,drawdown_252,above_ma50,above_ma200,ret_3d_before,ret_5d_before,vol_20,vol_60,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,max_adverse_60d
AXP,B_趨勢回踩型,2025-10-01,325.0827941894531,-4.02%,-4.02%,True,True,-3.84%,-3.50%,20.75%,21.75%,-1.44%,0.89%,9.30%,13.74%,16.27%,-3.50%
AXP,B_趨勢回踩型,2025-10-16,320.51043701171875,-5.37%,-5.37%,False,True,0.00%,-0.15%,22.25%,21.40%,9.84%,11.07%,12.88%,13.04%,11.04%,0.00%
AXP,B_趨勢回踩型,2025-11-14,354.29534912109375,-4.18%,-4.18%,True,True,-3.51%,-3.08%,16.28%,25.76%,-1.20%,0.88%,7.11%,4.54%,-3.79%,-4.63%
AXP,B_趨勢回踩型,2025-12-02,357.78692626953125,-3.24%,-3.24%,True,True,-0.90%,1.34%,25.09%,26.18%,0.89%,5.56%,2.56%,-0.70%,-14.58%,-14.17%
AXP,B_趨勢回踩型,2025-12-31,366.9622497558594,-3.88%,-3.88%,True,True,-2.91%,-3.20%,21.12%,26.74%,3.75%,-3.19%,-4.59%,-8.57%,-19.41%,-20.82%
AXP,B_趨勢回踩型,2026-01-16,362.647705078125,-5.01%,-5.01%,False,True,1.90%,-2.88%,23.16%,22.75%,-0.42%,-3.28%,-5.55%,-15.62%,-9.51%,-19.88%
AXP,B_趨勢回踩型,2026-02-03,347.5767517089844,-8.96%,-8.96%,False,True,-2.47%,-2.73%,27.85%,24.90%,3.88%,-0.97%,-10.99%,-15.80%,-7.31%,-16.41%
AXP,B_趨勢回踩型,2026-02-19,340.6377258300781,-10.78%,-10.78%,False,True,1.53%,-3.21%,23.52%,24.63%,-2.14%,-10.34%,-13.93%,-12.12%,-8.22%,-14.70%
AXP,A_回撤反彈型,2026-02-20,344.14697265625,-9.86%,-9.86%,False,True,0.48%,0.96%,22.03%,24.11%,-10.77%,-13.05%,-14.64%,-11.41%,-9.52%,-15.57%
GOOGL,B_趨勢回踩型,2015-10-21,33.29476547241211,-4.02%,-4.02%,True,True,-3.38%,-1.27%,24.18%,30.81%,9.69%,12.43%,13.13%,14.35%,7.04%,0.00%
