date,ticker,signal,action,reason,trade_size,exit_return,pnl,realized_pnl,total_invested
2019-12-09,MU,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-11,MRVL,A_回撤反彈型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-14,BTC-USD,C_過度波動禁止型,SKIP,風險訊號不交易,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-19,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-30,MU,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2019-12-30,AVGO,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-02,BTC-USD,C_過度波動禁止型,SKIP,風險訊號不交易,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-03,TSM,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-07,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-15,MU,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-15,AVGO,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-21,TSM,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-24,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-27,GOOGL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-27,AXP,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-27,NVDA,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-27,AAPL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-31,AVGO,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-01-31,MU,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-02-04,BTC-USD,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-02-05,TSM,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-02-05,MRVL,A_回撤反彈型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
2020-02-11,MRVL,B_趨勢回踩型,SKIP,總資金上限,0.0,0.0,0.0,0.6729999999999999,50.0
