date,ticker,scheme,layer,threshold,action,reason,trade_size,eval_return,eval_value,total_invested,month_spend
2019-12-05,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-01-31,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-24,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-25,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-25,MRVL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,MRVL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,MRVL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,AMD,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,AVGO,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,AMD,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-02-27,AMD,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-06,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-09,AVGO,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-09,GOOGL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-09,QQQ,ETF_B,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-09,NVDA,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,NVDA,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,QQQ,ETF_B,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,GOOGL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,TSM,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,NVDA,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,QQQ,ETF_A,L2,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,AVGO,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,MRVL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,AVGO,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,AMD,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,AVGO,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,GOOGL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-12,NVDA,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,120.0,0.0
2020-03-16,AVGO,AI_B,L3,-40.00%,BUY,OK,5.0,1.6656,13.328,125.0,5.0
2020-03-16,NVDA,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,MRVL,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,TSM,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,AVGO,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,AVGO,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,TSM,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,NVDA,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,MRVL,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,125.0,5.0
2020-03-16,TSM,AI_A,L2,-25.00%,BUY,OK,5.0,1.7288,13.643999999999998,130.0,10.0
2020-03-18,AVGO,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,10.0
2020-03-23,GOOGL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,10.0
2020-05-01,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2020-09-08,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2020-09-08,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2020-09-11,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2020-09-18,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2020-10-28,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2020-10-30,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-01-21,BTC-USD,BTC_A,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-01-27,BTC-USD,BTC_B,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-02-25,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-02-28,BTC-USD,BTC_A,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-03,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-03,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-04,MRVL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-04,TSM,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-04,AMD,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-04,MRVL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-04,MRVL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-08,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-08,NVDA,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-03-24,TSM,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-04-24,BTC-USD,BTC_A,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-05-13,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-05-15,BTC-USD,BTC_B,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-05-19,BTC-USD,BTC_A,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-05-19,BTC-USD,BTC_B,L2,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-06-21,BTC-USD,BTC_A,L3,-50.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-09-29,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,130.0,0.0
2021-10-13,RKLB,HIGH_GROWTH_A,L1,-35.00%,BUY,OK,5.0,-0.6898000000000001,1.5509999999999997,135.0,5.0
2021-11-26,BTC-USD,BTC_A,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2021-12-04,BTC-USD,BTC_B,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2021-12-13,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2021-12-13,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2022-01-05,BTC-USD,BTC_A,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2022-01-05,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2022-01-13,NVDA,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,135.0,0.0
2022-01-18,RKLB,HIGH_GROWTH_A,L2,-50.00%,BUY,OK,5.0,-0.5253,2.3735,140.0,5.0
2022-01-18,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-19,AVGO,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-19,AMD,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-20,NVDA,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-20,NVDA,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-20,QQQ,ETF_A,L1,-10.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-21,AMD,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-21,MRVL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-21,BTC-USD,BTC_B,L2,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-21,AMD,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-21,AVGO,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-25,AMD,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-25,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-25,NVDA,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-25,MRVL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-25,MRVL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-27,AMD,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-27,AMD,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-27,QQQ,ETF_B,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-01-27,TSM,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,5.0
2022-02-24,TSM,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-04,TSM,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-04,MRVL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-04,TSM,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-07,NVDA,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-07,NVDA,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-07,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-03-14,QQQ,ETF_A,L2,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-11,TSM,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-12,AMD,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-14,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-22,MRVL,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-22,MRVL,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-22,GOOGL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-22,NVDA,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-22,AMD,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-26,AVGO,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,140.0,0.0
2022-04-26,RKLB,HIGH_GROWTH_A,L3,-65.00%,BUY,OK,5.0,-0.46130000000000004,2.6935,145.0,5.0
2022-04-27,TSM,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,145.0,5.0
2022-04-27,TSM,AI_A,L3,-35.00%,BUY,OK,5.0,-0.0455,4.7725,150.0,10.0
2022-05-09,BTC-USD,BTC_B,L3,-55.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-09,MRVL,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-09,BTC-USD,BTC_A,L3,-50.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-09,QQQ,ETF_B,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-09,NVDA,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-11,NVDA,AI_A,L4,-50.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-18,GOOGL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-18,GOOGL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-05-23,AVGO,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,150.0,0.0
2022-06-13,QQQ,ETF_A,L3,-30.00%,BUY,OK,5.0,0.33880000000000005,6.694,155.0,5.0
2022-06-13,BTC-USD,BTC_A,L4,-65.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-13,MRVL,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-16,AVGO,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-16,MRVL,AI_A,L4,-50.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-16,AVGO,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-18,BTC-USD,BTC_B,L4,-70.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-28,AMD,AI_A,L4,-50.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-06-30,TSM,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,5.0
2022-07-01,NVDA,AI_B,L4,-55.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,0.0
2022-07-05,TSM,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,0.0
2022-09-13,NVDA,AI_C,L4,-60.00%,SKIP,本層已買過,0.0,0.0,0.0,155.0,0.0
