ticker,group,pattern,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,return_pct,pnl_usd_100
REGN,生技醫療,BUILT_VOLUME,2025-09-22,2025-09-23,578.8702908995939,2025-09-25,553.3213500976562,structure_or_atr_stop,2,-0.04413586463771235,-4.413586463771235
REGN,生技醫療,BUILT_VOLUME,2025-10-15,2025-10-16,581.8744142616846,2025-11-11,671.892333984375,paper_target_15pct,18,0.1547033475202897,15.470334752028968
REGN,生技醫療,RUSH_VOLUME,2025-12-19,2025-12-22,765.306737920836,2026-01-15,739.9234619140625,structure_or_atr_stop,16,-0.033167453975034955,-3.3167453975034955
REGN,生技醫療,RUSH_VOLUME,2026-04-23,2026-04-24,760.384311526254,2026-04-28,730.6787109375,structure_or_atr_stop,2,-0.039066561656339927,-3.9066561656339927
MA,支付金融,BUILT_VOLUME,2017-05-19,2017-05-22,111.95177303100574,2017-06-12,114.5357437133789,structure_or_atr_stop,14,0.02308110548331843,2.308110548331843
MA,支付金融,BUILT_VOLUME,2017-06-19,2017-06-20,116.7890676971097,2017-07-03,114.55470275878906,structure_or_atr_stop,9,-0.01913162749201336,-1.9131627492013359
MA,支付金融,VOLUME_PIT,2017-11-10,2017-11-13,141.8524003236465,2017-11-29,141.17904663085938,structure_or_atr_stop,11,-0.004746861464809959,-0.47468614648099594
MA,支付金融,RUSH_VOLUME,2017-12-15,2017-12-18,146.9825221783322,2018-02-01,164.8299560546875,structure_or_atr_stop,30,0.12142555190814597,12.142555190814598
MA,支付金融,BUILT_VOLUME,2018-02-06,2018-02-07,161.40623136857315,2018-02-08,153.09658813476562,structure_or_atr_stop,1,-0.05148279074078832,-5.1482790740788325
MA,支付金融,BUILT_VOLUME,2018-02-12,2018-02-13,159.8112702871695,2018-02-21,164.24856567382812,structure_or_atr_stop,5,0.027765847669473764,2.7765847669473764
MA,支付金融,BUILT_VOLUME,2018-02-23,2018-02-26,168.5692302690907,2018-03-22,167.2986602783203,structure_or_atr_stop,18,-0.007537377899526132,-0.7537377899526132
MA,支付金融,VOLUME_PIT,2018-07-05,2018-07-06,189.71613592651184,2018-07-26,198.1874542236328,structure_or_atr_stop,14,0.04465259771262908,4.465259771262908
MA,支付金融,BUILT_VOLUME,2018-12-06,2018-12-07,195.3718727287296,2018-12-17,182.22747802734375,structure_or_atr_stop,6,-0.0672788488834144,-6.72788488834144
MA,支付金融,BUILT_VOLUME,2019-05-14,2019-05-15,234.98142597828894,2019-05-23,239.69541931152344,structure_or_atr_stop,6,0.020061131698426493,2.0061131698426493
MA,支付金融,BUILT_VOLUME,2019-06-05,2019-06-06,246.55110891850077,2019-07-19,264.84710693359375,expired_30d,30,0.07420772956710109,7.420772956710109
MA,支付金融,BUILT_VOLUME,2019-08-08,2019-08-09,265.2902348223169,2019-09-10,261.7046813964844,structure_or_atr_stop,21,-0.013515587666594775,-1.3515587666594775
MA,支付金融,BUILT_VOLUME,2019-10-30,2019-10-31,266.4508842731433,2019-12-13,284.88299560546875,expired_30d,30,0.06917639392568264,6.917639392568264
MA,支付金融,VOLUME_PIT,2020-04-27,2020-04-28,261.4371466771558,2020-06-05,300.9402770996094,paper_target_15pct,27,0.15109991416497248,15.109991416497248
MA,支付金融,VOLUME_PIT,2020-09-16,2020-09-17,326.4002577965287,2020-09-23,313.5648498535156,risk_state_exit,4,-0.03932413543317237,-3.932413543317237
MA,支付金融,RUSH_VOLUME,2020-12-18,2020-12-21,322.97126832576936,2021-01-14,316.652587890625,structure_or_atr_stop,16,-0.01956421841453382,-1.9564218414533818
MA,支付金融,BUILT_VOLUME,2021-06-18,2021-06-21,358.1706359003832,2021-06-28,356.5442199707031,structure_or_atr_stop,5,-0.00454089689846171,-0.45408968984617104
MA,支付金融,BUILT_VOLUME,2021-11-12,2021-11-15,355.65609051444414,2021-11-18,338.4985046386719,structure_or_atr_stop,3,-0.04824206960987065,-4.824206960987065
MA,支付金融,VOLUME_PIT,2021-12-09,2021-12-10,337.98716336854676,2022-01-25,329.73480224609375,expired_30d,30,-0.02441619687625385,-2.441619687625385
MA,支付金融,BUILT_VOLUME,2022-01-28,2022-01-31,369.3283736548353,2022-02-23,351.60614013671875,structure_or_atr_stop,16,-0.047985031160046376,-4.798503116004637
MA,支付金融,BUILT_VOLUME,2022-05-04,2022-05-05,353.64796445182225,2022-05-09,319.6947937011719,structure_or_atr_stop,2,-0.0960083873330928,-9.600838733309281
MA,支付金融,VOLUME_PIT,2023-02-07,2023-02-08,366.200549582199,2023-02-10,359.26031494140625,structure_or_atr_stop,2,-0.01895200498391092,-1.895200498391092
MA,支付金融,VOLUME_PIT,2023-08-07,2023-08-08,389.9538199670355,2023-09-20,403.26190185546875,expired_30d,30,0.034127327921952944,3.4127327921952944
MA,支付金融,BUILT_VOLUME,2024-03-18,2024-03-19,475.4864550445743,2024-04-04,462.8617248535156,structure_or_atr_stop,11,-0.026551187856392655,-2.6551187856392655
