target_pct,atr_stop_multiple,max_hold_days,trades,win_rate,average_return,median_return,total_pnl_usd_100,profit_factor
0.2,1.0,20,796,0.3743718592964824,0.002886654160561252,-0.016788503418180667,229.77767118067564,1.129201945618546
0.2,1.5,15,772,0.42487046632124353,0.003062654621407358,-0.011180199565843096,236.43693677264804,1.1286675299867204
0.25,1.0,20,796,0.3731155778894472,0.002742074393879338,-0.016903246715743503,218.26912175279531,1.1224669378091785
0.15,1.5,15,773,0.4269081500646831,0.0028908100767232074,-0.010755221631107759,223.45961893070393,1.1209579903731692
0.15,1.0,20,797,0.37641154328732745,0.0026534828116776222,-0.016768337405702383,211.48258009070648,1.118116693078777
0.25,1.5,15,772,0.42357512953367876,0.002781840260747808,-0.011201769874380318,214.7580681297308,1.1166268396019867
0.1,2.0,20,763,0.44692005242463956,0.0029987650907756817,-0.008043241312761684,228.8057764261845,1.1164797881447128
0.2,1.0,15,798,0.38847117794486213,0.0025001483021000162,-0.015151704124972243,199.51183450758128,1.115446831604898
0.1,1.5,20,774,0.42377260981912146,0.002815138156546818,-0.012120947583874997,217.89169331672375,1.1125617422298983
0.15,1.0,15,799,0.3904881101376721,0.0023916876010730164,-0.015122548397285551,191.095839325734,1.109951235206666
0.1,1.0,20,800,0.3825,0.0023894454331886057,-0.016663749229354374,191.15563465508848,1.1066277922099965
0.25,1.0,15,798,0.38721804511278196,0.0022450238061466157,-0.015183849670366956,179.15289973049994,1.1034368697372707
0.1,2.0,15,765,0.4549019607843137,0.0024016647325684703,-0.006814636739333357,183.727352041488,1.0979366902697305
0.1,1.0,15,802,0.39526184538653364,0.002018953152278988,-0.014820196726976431,161.92004281277482,1.093040613119911
0.1,1.5,15,776,0.43170103092783507,0.0021505078541134127,-0.010467452065000715,166.87940947920083,1.089847907207275
